Fecha,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max,Semana,Anho,Distrito
2020-01-26,23.73544140685942,69.96708829526618,27.117543536767187,20.58925860926928,53.01928353521867,89.64452921853841,04,2020,LURIGANCHO
2020-02-02,23.51123565204842,72.57217724608938,26.79447718895551,21.347502307029345,55.96538383583812,84.43320734541702,05,2020,LURIGANCHO
2020-02-09,23.031397128737552,72.39942215519196,26.03041041390384,20.567025811560768,57.01334455437656,86.28040249999998,06,2020,LURIGANCHO
2020-02-16,22.869633653553596,73.03555224699996,25.599860116195373,20.596347018383653,61.48535533583812,85.41105819083397,07,2020,LURIGANCHO
2020-02-23,24.053223319759756,70.35174955346598,26.993225545829944,21.851725329686246,55.43131292646565,84.03272120895952,08,2020,LURIGANCHO
2020-03-01,24.368616781402864,69.97168690326173,26.947021636715533,21.66295046614374,56.50999354479764,84.73145161833195,09,2020,LURIGANCHO
2020-03-08,23.933195867962983,69.69854624870383,26.95376894801825,21.7819180455719,52.620930763336126,81.89678988166804,10,2020,LURIGANCHO
2020-03-15,24.276807887218776,64.84319136333976,26.999178170829964,21.750410711612403,49.8849171268786,80.25737751812555,11,2020,LURIGANCHO
2020-03-22,24.004375625452194,69.61184100536006,27.458964877652814,21.673118000258118,46.52130294459116,84.31290741791905,12,2020,LURIGANCHO
2020-03-29,22.964218673704075,70.96640030313566,26.923892361664,20.57019656156075,51.66716831771264,85.31914119083397,13,2020,LURIGANCHO
2020-04-05,22.492676885345134,70.76673195901485,25.09700933208103,19.48657217057189,58.99457950854659,84.07364949145342,14,2020,LURIGANCHO
2020-04-12,22.308969187293606,73.3237474764761,25.225968457080967,20.225526406977732,59.810791827291546,85.580812164162,15,2020,LURIGANCHO
2020-04-19,22.047152125077833,71.3260878150525,25.895990120726708,19.401579531977745,50.621244518125536,89.825454381668,16,2020,LURIGANCHO
2020-04-26,20.465394271925543,70.34357418702629,23.186480763852277,18.16206327744635,57.09154460875303,82.2460044456235,17,2020,LURIGANCHO
2020-05-03,20.42175141943313,71.38269507709688,24.25008543202938,17.629605334217615,53.423824927498,84.90364725478948,18,2020,LURIGANCHO
2020-05-10,20.134192929094574,73.80193420460992,23.826705334217596,17.370427647914994,57.06599008208106,87.74700654582996,19,2020,LURIGANCHO
2020-05-17,19.018083703319864,76.87998184392258,22.518989725206552,16.229468593280387,59.40443520895951,88.76364004582992,20,2020,LURIGANCHO
2020-05-24,17.38863046723306,78.9502803405281,20.2812592910405,15.228013502394733,62.87137833687039,89.32202127291495,21,2020,LURIGANCHO
2020-05-31,18.340194635847038,79.72043632934819,21.216201677497963,15.959418752394754,63.63614199999995,92.2764376822874,22,2020,LURIGANCHO
2020-06-07,17.452624420871228,79.85634628863033,20.28836625239478,15.18843780010326,60.92894735499591,90.12150659165997,23,2020,LURIGANCHO
2020-06-14,16.525616918060116,78.32476484172034,18.98118339098892,14.424241611405876,64.83182797332789,87.69380873769637,24,2020,LURIGANCHO
2020-06-21,16.48856314001327,79.98669995118418,19.314293800103258,14.44208373187456,66.73928683687036,89.62302283687042,25,2020,LURIGANCHO
2020-06-28,16.208662660572944,79.83392735185141,19.673768743332005,14.183828377394718,60.78054789124692,90.6859604552024,26,2020,LURIGANCHO
2020-07-05,15.580242360242815,78.46243436494056,18.68982304557187,13.303520984269198,63.07177493707686,90.61830820041293,27,2020,LURIGANCHO
2020-07-12,15.226343538023517,78.79995579809868,18.406413786509177,12.549840777446434,63.04432700957887,88.43016922811744,28,2020,LURIGANCHO
2020-07-19,15.533214357531063,77.71728894992637,19.381832011457504,12.825867581822877,60.88444742749794,88.29371502770441,29,2020,LURIGANCHO
2020-07-26,15.413176635443735,79.27815127334716,18.502991463749023,13.247438118331957,62.01254985499591,90.62708136457492,30,2020,LURIGANCHO
2020-08-02,15.15140822014737,77.83166477936268,19.027998693228767,12.671062688697418,59.8927131374899,88.37107780165181,31,2020,LURIGANCHO
2020-08-09,14.930688340902794,78.29732020392917,18.906385265988888,12.499211115937214,60.84381232832385,89.08918465561524,32,2020,LURIGANCHO
2020-08-16,14.896056089396343,77.58830740072858,18.114112079686265,12.500321961612372,61.82859975478941,89.94077057353437,33,2020,LURIGANCHO
2020-08-23,14.985118271265668,77.227047204763,17.9576120159889,12.4247190842176,60.86373643707688,88.13151603728343,34,2020,LURIGANCHO
2020-08-30,15.637163355506846,79.9037521075315,19.797662704686275,13.347326270520227,55.12606620041291,89.82753419186635,35,2020,LURIGANCHO
2020-09-06,14.966840144425563,79.04773566299627,18.16950351598888,12.680777822760149,59.41609750103242,92.02574863748984,36,2020,LURIGANCHO
2020-09-13,15.520606922434258,77.94792829748003,18.52590132276015,12.916836711354335,63.15950793707689,90.08469140082585,37,2020,LURIGANCHO
2020-09-20,16.051199000724424,76.5017263154529,19.408446881926125,13.019679325154868,62.1181669829069,87.96122928249387,38,2020,LURIGANCHO
2020-09-27,16.4225719925195,75.39206037142422,19.953028597811794,14.039671352343134,56.64613012791091,87.69260314603639,39,2020,LURIGANCHO
2020-10-04,16.311304560364654,78.22052394443426,19.3044318523431,14.396617566092118,62.68984933687048,89.47794220041294,40,2020,LURIGANCHO
2020-10-11,17.341381471869678,74.22806436449298,21.085926666040564,14.548877554634656,56.67482954582995,87.84216349145339,41,2020,LURIGANCHO
2020-10-18,17.419924994937805,75.27814884846724,20.68462909781175,14.918545377394707,58.51365455540895,88.38021222811732,42,2020,LURIGANCHO
2020-10-25,17.472845632910964,74.88862088143955,20.896646097811757,15.216734843280449,60.72206866416193,87.5985727004129,43,2020,LURIGANCHO
2020-11-01,17.79541693879878,75.344900300727,21.17335045708097,15.09404235926928,61.55005259062748,87.01061670999178,44,2020,LURIGANCHO
2020-11-08,16.838233984404713,75.45433890889917,20.112896161509127,14.28593671374898,59.17692328249392,87.60599610978528,45,2020,LURIGANCHO
2020-11-15,17.498247151795702,74.49227718871883,20.782663522915016,14.6768975205203,59.55964808208091,86.01721206395545,46,2020,LURIGANCHO
2020-11-22,18.231463697879967,72.13571026539168,21.772978859269244,15.324919381926064,54.57573525478946,84.78627640937246,47,2020,LURIGANCHO
2020-11-29,18.330581266182975,71.9214610184179,22.354063168435232,15.44526426598884,56.8018329456235,85.27172250957891,48,2020,LURIGANCHO
2020-12-06,19.1419250415004,75.20902574124761,22.29089060713261,17.012042845675182,61.11270392646555,87.116211036251,49,2020,LURIGANCHO
2020-12-13,19.67373209352056,75.85097280602254,22.64434061166395,17.46310559781176,64.30603140834009,86.78076530916603,50,2020,LURIGANCHO
2020-12-20,20.00196101056945,76.47159425817063,22.8617297206751,17.86227759328034,63.85849208104859,87.1551542910405,51,2020,LURIGANCHO
2020-12-27,19.958893665271514,77.05926739705411,22.57539343442409,17.737552893383622,63.45184885396359,87.35568760875303,52,2020,LURIGANCHO
