Fecha,temp_mean,temp_max,temp_min,temp_sum,Semana,Anho
2017-05-21,21.467864904464285,25.193051399999998,18.50558447,1202.20043465,20,2017
2017-05-28,20.847094618928576,24.43310276,18.59593396,1167.4372986600004,21,2017
2017-06-04,20.266248104821425,23.86629384,17.65473579,1134.90989387,22,2017
2017-06-11,19.872450366607136,23.99881135,16.20248579,1112.8572205299997,23,2017
2017-06-18,19.502889684821433,24.78537731,15.63395561,1092.1618223500002,24,2017
2017-06-25,19.919264545178567,24.4503699,16.51824845,1115.4788145299997,25,2017
2017-07-02,19.252383771250003,23.05823314,16.27486825,1078.13349119,26,2017
2017-07-09,19.22600302589285,23.73016013,15.91231207,1076.6561694499997,27,2017
2017-07-16,18.646432609107144,22.14032815,16.01441666,1044.2002261100001,28,2017
2017-07-23,18.61175070392857,22.70598445,16.21718287,1042.25803942,29,2017
2017-07-30,18.521696149821427,21.00780351,16.21120588,1037.21498439,30,2017
2017-08-06,18.46580818232143,20.70260692,16.18971283,1034.0852582100001,31,2017
2017-08-13,18.133303596250002,20.68057404,15.71400153,1015.4650013900001,32,2017
2017-08-20,18.285748052678567,21.34307015,16.16094124,1024.0018909499997,33,2017
2017-08-27,18.1834745875,21.13469923,15.44645181,1018.2745769,34,2017
2017-09-03,18.26279022285715,20.88791029,15.76876213,1022.7162524800003,35,2017
2017-09-10,17.807884395892856,20.27890838,15.57541275,997.2415261699999,36,2017
2017-09-17,18.20591627017857,22.2231245,15.99758854,1019.53131113,37,2017
2017-09-24,18.15107494553571,22.95364552,14.83663465,1016.4601969499998,38,2017
2017-10-01,19.06111956053571,22.28201938,15.834080199999999,1067.42269539,39,2017
2017-10-08,19.218171710357147,22.67476027,16.49129044,1076.2176157800002,40,2017
2017-10-15,19.171716046249994,22.43054819,15.98753176,1073.6160985899996,41,2017
2017-10-22,19.39463598017858,23.10250668,16.57135771,1086.0996148900006,42,2017
2017-10-29,19.858123129464282,22.94957945,17.36565906,1112.0548952499998,43,2017
2017-11-05,19.072289652499997,22.55272306,15.93382388,1068.0482205399999,44,2017
2017-11-12,19.148257614107145,22.20876013,16.77862976,1072.3024263900002,45,2017
2017-11-19,19.52810048267857,22.32485223,17.26698485,1093.57362703,46,2017
2017-11-26,20.202517651249998,23.03489718,16.95134654,1131.34098847,47,2017
2017-12-03,21.006164184821426,24.5738845,18.4622775,1176.34519435,48,2017
2017-12-10,21.23258441875,23.71421436,18.94500062,1189.02472745,49,2017
2017-12-17,21.631431199464288,25.0479908,18.69901503,1211.3601471700001,50,2017
2017-12-24,22.466341611071435,26.14751147,19.765597,1258.1151302200003,51,2017
2017-12-31,22.50094991357143,25.34684744,20.07722456,1260.05319516,52,2017
2018-01-07,23.30577321892856,26.46467318,20.581637899999997,1305.1233002599995,1,2018
2018-01-14,23.462392084285714,26.40655732,21.14905043,1313.89395672,2,2018
2018-01-21,23.698119207499996,26.98135815,21.19630296,1327.0946756199999,3,2018
2018-01-28,23.997687265535713,26.797829399999998,21.80237181,1343.87048687,4,2018
2018-02-04,23.91354688178572,27.49976375,21.50580427,1339.1586253800003,5,2018
2018-02-11,24.614096041607144,28.48278475,21.86627815,1378.38937833,6,2018
2018-02-18,25.12424160982143,27.95765907,22.52913877,1406.95753015,7,2018
2018-02-25,25.463372824642857,28.18242777,23.04901101,1425.94887818,8,2018
2018-03-04,25.300611604285727,28.54046222,22.06677902,1416.8342498400007,9,2018
2018-03-11,24.498582070714285,27.51473789,22.1297142,1371.92059596,10,2018
2018-03-18,24.752455269107145,27.55475937,22.54268561,1386.13749507,11,2018
2018-03-25,24.267364761071438,27.76620191,21.51227418,1358.9724266200005,12,2018
2018-04-01,24.000200157321427,26.93873576,21.5896782,1344.01120881,13,2018
2018-04-08,24.041666888035714,26.81665354,21.52732373,1346.33334573,14,2018
