Fecha,ix,Departamento,Distrito,casosAccumAnho,nuevosCasos,Semana,Anho,Fecha_x,Fecha_y,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max
2018-02-18,112,LIMA,COMAS,0,0,7,2018,2018-02-18,2018-02-18,23.399351947964345,72.73021547975826,26.176619952404337,20.85407358720346,56.97358133359688,87.53905302160705
2018-02-25,113,LIMA,COMAS,0,0,8,2018,2018-02-25,2018-02-25,23.580628917586573,70.63423124816906,26.22795430300539,21.284608005204063,52.84101896959815,87.87094543600124
2018-03-04,114,LIMA,COMAS,0,0,9,2018,2018-03-04,2018-03-04,23.478003388353905,70.28501722285664,26.56147116280448,20.368030937203457,53.99907443359688,90.67320556640304
2018-03-11,115,LIMA,COMAS,0,0,10,2018,2018-03-11,2018-03-11,22.81856078421404,74.58131854004716,25.8869698532032,20.45203821080355,57.48494328639663,87.00553264640932
2018-03-18,116,LIMA,COMAS,0,0,11,2018,2018-03-18,2018-03-18,23.06449411463219,71.34046780914207,25.565161092605194,20.894399276803256,58.86719621119892,87.12973987681107
2018-03-25,117,LIMA,COMAS,0,0,12,2018,2018-03-25,2018-03-25,22.59726207303919,72.55012750100099,25.96409791140468,19.87574370320317,55.29450202480216,90.68970387440682
2018-04-01,118,LIMA,COMAS,0,0,13,2018,2018-04-01,2018-04-01,22.32802548467501,72.2929005032138,25.269405731603968,19.921147260803536,51.17259482799738,91.42498399920908
2018-04-08,119,LIMA,COMAS,0,0,14,2018,2018-04-08,2018-04-08,22.33948005178589,70.26585634142673,25.142126959403697,19.91742932400348,53.20747491119891,86.03483829680476
2018-04-15,120,LIMA,COMAS,0,0,15,2018,2018-04-15,2018-04-15,22.19497308566785,68.21841802561404,25.28482971220342,19.79940258580359,50.74459736159434,83.81220704960451
2018-04-22,121,LIMA,COMAS,0,0,16,2018,2018-04-22,2018-04-22,20.95009693296712,75.56094329339264,23.72258389840244,18.51780316360333,58.71665397200245,91.8829884680164
2018-04-29,122,LIMA,COMAS,0,0,17,2018,2018-04-29,2018-04-29,21.50537861028173,75.97263256661768,25.30309296080356,18.924427560803508,56.7446890055994,92.44582194960456
2018-05-06,123,LIMA,COMAS,3,3,18,2018,2018-05-06,2018-05-06,20.41902526986687,75.37323388099095,22.997829704602964,17.866494344202806,62.72007196880726,92.33877465760835
2018-05-13,124,LIMA,COMAS,7,4,19,2018,2018-05-13,2018-05-13,19.742093066645413,75.8685836361046,22.69559779560268,16.852551608802628,60.15013900240424,90.9138565824106
