,Fecha,temp_mean,Humedad,Semana,Anho
146,2017-10-22,19.394635980178577,69.82585901803573,42,2017
147,2017-10-29,19.858123129464282,69.56001721642856,43,2017
148,2017-11-05,19.0722896525,72.46800882232142,44,2017
149,2017-11-12,19.148257614107145,70.85750250196428,45,2017
150,2017-11-19,19.52810048267857,73.32477706553568,46,2017
151,2017-11-26,20.20251765125,75.53635932821426,47,2017
152,2017-12-03,21.006164184821426,73.08725812017856,48,2017
153,2017-12-10,21.23258441875,74.69282842732143,49,2017
154,2017-12-17,21.631431199464288,76.35111804607142,50,2017
155,2017-12-24,22.466341611071435,75.7916342975,51,2017
156,2017-12-31,22.50094991357143,76.09684710607144,52,2017
157,2018-01-07,23.305773218928557,74.24129250821426,1,2018
158,2018-01-14,23.462392084285717,76.76040565285712,2,2018
159,2018-01-21,23.6981192075,73.5170184835714,3,2018
160,2018-01-28,23.997687265535717,77.10533363196426,4,2018
161,2018-02-04,23.913546881785717,76.21180102392853,5,2018
162,2018-02-11,24.614096041607148,72.40231138732142,6,2018
163,2018-02-18,25.12424160982143,72.5757371317857,7,2018
164,2018-02-25,25.463372824642853,70.20296448839287,8,2018
165,2018-03-04,25.30061160428573,69.79244992589285,9,2018
166,2018-03-11,24.49858207071428,75.04365846142856,10,2018
167,2018-03-18,24.752455269107145,70.74405264696429,11,2018
168,2018-03-25,24.267364761071445,72.20322952589288,12,2018
169,2018-04-01,24.00020015732143,71.66290299732141,13,2018
170,2018-04-08,24.041666888035717,69.62124073857143,14,2018
171,2018-04-15,23.94828102357143,67.56017441339284,15,2018
172,2018-04-22,22.54237975375,77.0412099098214,16,2018
173,2018-04-29,23.1513833375,76.31823383607143,17,2018
174,2018-05-06,21.92501153446429,76.44654697,18,2018
175,2018-05-13,21.14536345696428,77.14086639303572,19,2018
176,2018-05-20,20.672693865357143,75.94966000875,20,2018
177,2018-05-27,20.15084725732144,77.04874861357143,21,2018
178,2018-06-03,19.630675264107147,73.2947199832143,22,2018
179,2018-06-10,19.235328245357145,77.03667473964283,23,2018
180,2018-06-17,18.62989134571428,74.70624768,24,2018
181,2018-06-24,17.977057367142855,72.67963454357142,25,2018
182,2018-07-01,17.920666327499994,75.22001332928572,26,2018
183,2018-07-08,18.246959824464284,75.82493265803569,27,2018
184,2018-07-15,18.357550828928574,69.58188879410713,28,2018
185,2018-07-22,17.81257112892857,73.14157159285716,29,2018
186,2018-07-29,17.77662874285714,73.9841561405357,30,2018
