,Distrito,Mean,Var,ACF1,Seasonality,Trend,Linearity,Curvature,Peak,Entropy,Lumpiness,Lshift,Vchange,Fspots,Cpoints_ts,Cpoints_JV,KlScore,ChangeIdx
79,"SAN MARTIN, RIOJA, AWAJUN",0.05660471698113219,0.05339967960133487,0.6579487179487182,-0.06452830188679247,0.7895872750226555,0.0076311424415941055,-0.5657110813627189,0,0.08693085845019256,0.010000000000000005,0.0,0.0,46.0,0,2.0,,
80,"PASCO, OXAPAMPA, PUERTO BERMUDEZ",1.7924533962264138,6.541827803489021,0.8991880832580018,0.6338086593670169,0.0,0.024165284398380928,-1.3586045493670538,0,0.08612915372993867,0.0014153518518518517,0.33999999999999997,0.02933333333333333,32.0,4,3.0,,
81,"PIURA, TALARA, LOS ORGANOS",0.09434052830188693,0.08543948736213608,0.36322115384615383,-0.07036163522012578,0.6340455210457345,0.012718570735990144,-0.5926497042861476,0,0.13885782859615758,0.009753086419753091,0.0,0.0,39.0,0,5.0,,
82,"LIMA, LIMA, SAN MIGUEL",0.018868905660377303,0.01851188892846277,-0.019970414201183433,-0.02068214804063862,0.9560013213918274,0.002543714147197949,-0.09877495071410972,0,0.0824946909208231,0.001975308641975309,0.0,0.0,37.0,0,2.0,,
83,"LORETO, LORETO, NAUTA",4.641509811320754,40.267707426130514,0.9386307655714601,0.61712952398491,0.0,0.031287684010535485,-1.8807648570058675,0,0.22245127022044875,0.00013234837962962964,0.33999999999999997,0.03933333333333332,33.0,5,3.0,,
84,"LORETO, DATEM DEL MARAÑON, BARRANCA",2.0377363018867913,9.470272273407144,0.8715271390271633,0.38631298824176935,0.0,0.02289342732478215,-1.4606719984371097,0,0.13666455445655956,0.0011027609882258804,0.25000000000000006,0.03240740740740744,27.0,3,3.0,,
85,"SAN MARTIN, MARISCAL CACERES, CAMPANILLA",1.6415099811320741,10.456388378070736,0.6752139096652354,0.43836833436542044,0.0,0.013831445675389284,-0.9703516465050803,0,0.08947140283049212,0.0006354937141324267,0.09375000000000001,0.009548611111111108,42.0,2,3.0,,
86,"LORETO, MAYNAS, SAN JUAN BAUTISTA",37.64150943396226,1807.0601637593452,0.8176906383083966,0.6251597221445769,0.0,0.028067573146923264,-1.2894314717953839,0,0.6729444732424258,0.0005615465009075917,0.21363636363636362,0.022787534435261696,10.0,3,8.0,,
87,"LAMBAYEQUE, CHICLAYO, SAÑA",2.2830196415094326,42.051972259879186,0.6395668134427289,0.24852713138671675,0.6939891981463054,0.008549705883637546,-0.3127873439269814,0,0.1047937828571658,0.001811712165602579,0.05,0.0034636488340192037,34.0,2,2.0,,
88,"HUANUCO, HUANUCO, SANTA MARIA DEL VALLE",0.01886890566037728,0.018511888928462766,-0.00036982248520711305,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
89,"CAJAMARCA, CUTERVO, CUTERVO",0.01886890566037736,0.018511888928462797,-0.0003698224852071037,-0.001451378809869373,0.6689075630252714,0.0025437141471979785,0.2334680653242751,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,1.0,,
90,"SAN MARTIN, PICOTA, CASPISAPA",0.45283107547169904,2.134566658597462,0.7355480047326717,0.148687175097864,0.0,0.008721305647536247,-0.7478674839760946,0,0.04445176257083381,0.002815493544356519,0.0,0.0,47.0,1,3.0,,
